TR:MCF7:CellLine,TR:EGF:Stimuli,TR:FGF1:Stimuli,TR:HGF:Stimuli,TR:IGF1:Stimuli,TR:Insulin:Stimuli,TR:NRG1:Stimuli,TR:PBS:Stimuli,TR:Serum:Stimuli,TR:GSK690693:Inhibitors,TR:GSK690693_GSK1120212:Inhibitors,TR:PD173074:Inhibitors,DA:ALL,DV:4EBP1_pS65,DV:ACC_pS79,DV:AKT_pS473,DV:AKT_pT308,DV:AMPK_pT172,DV:BAD_pS112,DV:c-JUN_pS73,DV:c-Met_pY1235,DV:c-Raf_pS338,DV:CHK1_pS345,DV:CHK2_pT68,DV:EGFR_pY1068,DV:EGFR_pY1173,DV:EGFR_pY992,DV:ER-alpha_pS118,DV:FOXO3a_pS318_S321,DV:GSK3-alpha-beta_pS21_S9,DV:GSK3-alpha-beta_pS9,DV:HER2_pY1248,DV:JNK_pT183_pT185,DV:MAPK_pT202_Y204,DV:MEK1_pS217_S221,DV:mTOR_pS2448,DV:NF-kB-p65_pS536,DV:p27_pT157,DV:p27_pT198,DV:p38_pT180_Y182,DV:p70S6K_pT389,DV:p90RSK_pT359_S363,DV:PDK1_pS241,DV:PKC-alpha_pS657,DV:PRAS40_pT246,DV:Rb_pS807_S811,DV:S6_pS235_S236,DV:S6_pS240_S244,DV:Src_pY416,DV:Src_pY527,DV:STAT3_pY705,DV:TAZ_pS89,DV:YAP_pS127,DV:YB-1_PS102
1,0,0,0,0,0,0,0,0,0,0,1,0,0.690697003576,0.213262549353,0.0666286487579,0.210508707148,2.09548136684,0.584281807658,0.373011321136,0.478128543852,0.323169566222,0.265692428921,0.221848819585,0.0885331857413,0.458375517549,0.123778814951,0.85928996139,0.47058918686,1.14633959927,1.32648359089,1.67904020342,0.208562672389,0.200793227366,0.187635265138,0.651896816019,0.575799516264,0.667591743835,0.441058211668,0.17773614297,1.49577944884,0.620937894469,1.05287114003,0.21576691534,1.07676893677,2.14351175958,2.64800686432,1.19823220616,0.0864270378972,1.24416738534,0.200970600414,0.72763953222,0.401098463024,0.544543864204
1,0,0,0,0,0,0,0,0,0,0,1,0,0.719781852191,0.148943074594,0.0577193495546,0.227801756965,2.17094608937,0.577245621173,0.411754632751,0.462113965323,0.274976583222,0.250664420793,0.220459053107,0.0828079215496,0.443752172671,0.123543401099,0.743169736468,0.480824714614,1.12755055459,1.24491537673,1.39282142289,0.192496161146,0.211190344372,0.203638992941,0.409653287369,0.528529854966,0.619195244806,0.448606611605,0.172803020971,1.91048018334,0.614932132143,1.21324199842,0.190837862194,1.18316678654,1.93336026888,2.94706598787,0.972551386941,0.0899617180933,1.15558258898,0.189264414129,0.554950978608,0.382795913392,0.625462149642
1,0,0,0,0,0,0,0,0,0,1,0,0,0.70275223633,0.170486184348,0.452023038969,0.56670029703,1.94637700718,0.565483057306,0.377117511201,0.457940486297,0.330321604786,0.28393769609,0.218956756031,0.0863775168171,0.436303393744,0.120880264183,0.894784275015,0.456932309209,1.14738237562,1.32621667959,1.64687400001,0.209069564371,0.0582024217457,0.120494124561,0.62184480522,0.584299298668,0.646213635481,0.439798500595,0.173684921027,1.84006105327,0.59464419614,1.08305804911,0.217799748121,1.0818997148,2.14356809288,2.75208633989,1.13713328521,0.0817445914631,1.27708835481,0.196968830279,0.643812860468,0.340212718489,0.573769152864
1,0,0,0,0,0,0,0,0,0,1,0,0,0.710430487914,0.121668315772,0.43111497551,0.544616218809,1.86038753283,0.640530117355,0.421437704276,0.477369917208,0.320942846444,0.242533635695,0.228856415733,0.0856731945839,0.442474057556,0.119127987521,0.831987598469,0.501027259592,1.07847942846,1.30040682321,1.39393511681,0.204115925127,0.0765816579324,0.147046040241,0.422242500346,0.544875255789,0.637435251269,0.4472857777,0.174440201358,2.16234322233,0.590564243347,1.1459033153,0.18985720384,1.05959060201,1.82914449793,2.8625216564,1.19021340032,0.105141297798,1.14560599385,0.19128525995,0.575744166217,0.395060386832,0.616547485875
1,0,0,0,0,0,0,0,0,1,0,0,0,0.701871042565,0.184470847667,0.458387442485,0.739110505027,1.66604458382,0.521836852537,0.385040627356,0.483677403057,0.479809939484,0.255250118882,0.200797362168,0.0851685005826,0.422806565918,0.118111033395,0.748180068498,0.477461128866,1.0094074832,1.15324136901,1.25175240054,0.199514122718,0.333640530423,0.28305868028,0.462637394758,0.428248898642,0.614371060275,0.497551329906,0.190075566784,1.41148553512,0.645345394406,1.09482387721,0.221214319324,1.00751623555,1.85949917664,1.52097146214,0.738233687534,0.0897043054804,1.19624830387,0.205919884724,0.628816347865,0.40920265823,0.604082797744
1,0,0,0,0,0,0,0,0,0,0,0,0,0.726375745665,0.161300260736,0.0990451398988,0.325381194074,1.4222118683,0.598956918218,0.392040897005,0.465629829959,0.493410010379,0.259040864693,0.205481818635,0.0817181512389,0.449417283318,0.134529457006,0.753669059951,0.483259678569,1.2147704416,1.30439563253,1.27088594274,0.194796117141,0.322972768851,0.256264734439,0.522480482463,0.513820686152,0.637722087394,0.448098205692,0.204522438955,1.62278166636,0.644430192745,1.09756425755,0.214113170981,1.24218987416,1.88639362993,1.81772972998,0.892313324744,0.0898020456601,1.21204375867,0.197364325622,0.716801978531,0.454641838819,0.652545493513
1,0,0,0,0,0,0,0,0,0,0,0,0,0.713038563436,0.188198482261,0.0874586889158,0.344853209883,1.41553684881,0.548922104937,0.369100975219,0.46134221005,0.571472292298,0.256788571741,0.215363606444,0.0814090614437,0.424481099446,0.130372277629,0.860283492761,0.461728663708,1.19313325929,1.27348877614,1.26109209579,0.202229783896,0.297291203951,0.240723018351,0.589301082537,0.508819093659,0.611247172467,0.446441612625,0.205739728516,1.70546308568,0.631717783182,0.988635563448,0.235779703254,1.11668187821,1.94011236161,1.994739029,0.772321153911,0.093879392121,1.18313747232,0.196178996466,0.61853698099,0.4526765468,0.610538017259
1,0,0,0,0,0,0,0,0,1,0,0,0,0.675976567702,0.164266029383,0.532590462101,0.735819566047,1.52953779387,0.575060086486,0.386081650517,0.486906928673,0.571455151048,0.228144907344,0.19772580448,0.080333107124,0.439741021434,0.121448585342,0.745328125723,0.49674450873,1.12609499197,1.27543897709,1.55193927951,0.215576085018,0.308890315022,0.256001160327,0.439639557073,0.438185376196,0.619295538745,0.462379627929,0.203439115722,1.56434325671,0.65400985002,1.02650690168,0.197123793127,1.17059887995,1.95743611832,1.41693219334,0.687137691995,0.085097573272,1.14364275598,0.203314641515,0.580520954773,0.394723531227,0.639808466809
1,0,0,0,0,0,0,0,0,0,0,1,0,0.747060764224,0.191357341193,0.0847991755962,0.220774562654,1.81528440246,0.571509008895,0.340107293919,0.463578507784,0.306701982544,0.257508657227,0.225016638208,0.0932960996103,0.49574440882,0.108822683229,0.911753075686,0.411940681411,1.20702511949,1.29867591298,1.35224189038,0.177631423036,0.168159661967,0.152090129259,0.621901318705,0.5582691405,0.580743007545,0.471381511477,0.156882293981,2.10757821056,0.56956044786,1.08569526488,0.224616457406,1.10718793137,2.02017947238,3.08180181427,1.26135272914,0.0997081939527,1.22447540961,0.186143941543,0.493559859273,0.434906128673,0.456699709906
1,0,0,0,0,0,0,0,0,0,0,1,0,0.785452439275,0.114563256395,0.0606635925851,0.213153963393,1.86720479652,0.641700456737,0.379300281169,0.456034235598,0.248687234567,0.257854391124,0.187817940015,0.0974755197984,0.422641182377,0.11131672813,0.72123230127,0.482753569003,1.08264751646,1.15233443744,1.21366381999,0.167162381688,0.187059485951,0.194127164427,0.322848286724,0.4951943593,0.587036093064,0.508736753549,0.150197960717,2.50703744296,0.679769310493,1.09507315325,0.184804370391,1.34964834178,1.80102418703,3.4795744527,1.27420521591,0.0939834504529,0.917629493732,0.203774108004,0.570469890994,0.42559053499,0.553003055996
